"genotype.idx" "phenotype.idx" "pval" "phenotype" "p.bh"
"Tvmar178.3" "TVAG_032070" 178 4.33546621873365e-13 "Tvmar178" NA
"Tvmar173.11" "TVAG_451380" 173 4.84168551531736e-13 "Tvmar173" 3.38339727432169e-07
"Tvmar174.11" "TVAG_451380" 174 4.84168551531736e-13 "Tvmar174" 3.38339727432169e-07
"Tvmar175.11" "TVAG_451380" 175 4.84168551531736e-13 "Tvmar175" 3.38339727432169e-07
"Tvmar177.11" "TVAG_451380" 177 4.84168551531736e-13 "Tvmar177" 3.38339727432169e-07
"Tvmar185.11" "TVAG_451380" 185 4.84168551531736e-13 "Tvmar185" 3.38339727432169e-07
"MAV89.11" "TVAG_451380" 273 4.84168551531736e-13 "MAV89" 3.38339727432169e-07
"MAV90.11" "TVAG_451380" 274 4.84168551531736e-13 "MAV90" 3.38339727432169e-07
"MAV92.11" "TVAG_451380" 276 4.84168551531736e-13 "MAV92" 3.38339727432169e-07
"MAV97.11" "TVAG_451380" 281 4.84168551531736e-13 "MAV97" 3.38339727432169e-07
"MAV98.11" "TVAG_451380" 282 4.84168551531736e-13 "MAV98" 3.38339727432169e-07
"MAV99.11" "TVAG_451380" 283 4.84168551531736e-13 "MAV99" 3.38339727432169e-07
"MAV86.4" "TVAG_093820" 270 2.14634249319666e-12 "MAV86" 1.31970156650917e-06
"Tvmar173.8" "TVAG_407650" 173 3.77702022024006e-12 "Tvmar173" 1.31970156650917e-06
"Tvmar174.8" "TVAG_407650" 174 3.77702022024006e-12 "Tvmar174" 1.31970156650917e-06
"Tvmar175.8" "TVAG_407650" 175 3.77702022024006e-12 "Tvmar175" 1.31970156650917e-06
"Tvmar177.8" "TVAG_407650" 177 3.77702022024006e-12 "Tvmar177" 1.31970156650917e-06
"Tvmar185.8" "TVAG_407650" 185 3.77702022024006e-12 "Tvmar185" 1.31970156650917e-06
"MAV89.8" "TVAG_407650" 273 3.77702022024006e-12 "MAV89" 1.31970156650917e-06
"MAV90.8" "TVAG_407650" 274 3.77702022024006e-12 "MAV90" 1.31970156650917e-06
"MAV92.8" "TVAG_407650" 276 3.77702022024006e-12 "MAV92" 1.31970156650917e-06
"MAV97.8" "TVAG_407650" 281 3.77702022024006e-12 "MAV97" 1.31970156650917e-06
"MAV98.8" "TVAG_407650" 282 3.77702022024006e-12 "MAV98" 1.31970156650917e-06
"MAV99.8" "TVAG_407650" 283 3.77702022024006e-12 "MAV99" 1.31970156650917e-06
"Tvmar2.4" "TVAG_064830" 2 6.34287095500965e-12 "Tvmar2" 1.57929365735922e-06
"Tvmar3.4" "TVAG_064830" 3 6.34287095500965e-12 "Tvmar3" 1.57929365735922e-06
"Tvmar13.4" "TVAG_064830" 13 6.34287095500965e-12 "Tvmar13" 1.57929365735922e-06
"MAV25.4" "TVAG_064830" 209 6.34287095500965e-12 "MAV25" 1.57929365735922e-06
"Tvmar9.1" "TVAG_130870" 9 6.77996930774409e-12 "Tvmar9" 1.57929365735922e-06
"Tvmar10.1" "TVAG_130870" 10 6.77996930774409e-12 "Tvmar10" 1.57929365735922e-06
"Tvmar15.1" "TVAG_130870" 15 6.77996930774409e-12 "Tvmar15" 1.57929365735922e-06
"Tvmar30.1" "TVAG_130870" 30 6.77996930774409e-12 "Tvmar30" 1.57929365735922e-06
"Tvmar34.1" "TVAG_130870" 34 6.77996930774409e-12 "Tvmar34" 1.57929365735922e-06
"Tvmar41.1" "TVAG_130870" 41 6.77996930774409e-12 "Tvmar41" 1.57929365735922e-06
"Tvmar42.1" "TVAG_130870" 42 6.77996930774409e-12 "Tvmar42" 1.57929365735922e-06
"MAV15.1" "TVAG_130870" 199 6.77996930774409e-12 "MAV15" 1.57929365735922e-06
"Tvmar173.10" "TVAG_451370" 173 1.27603617916941e-11 "Tvmar173" 2.16449034665797e-06
"Tvmar174.10" "TVAG_451370" 174 1.27603617916941e-11 "Tvmar174" 2.16449034665797e-06
"Tvmar175.10" "TVAG_451370" 175 1.27603617916941e-11 "Tvmar175" 2.16449034665797e-06
"Tvmar177.10" "TVAG_451370" 177 1.27603617916941e-11 "Tvmar177" 2.16449034665797e-06
"Tvmar185.10" "TVAG_451370" 185 1.27603617916941e-11 "Tvmar185" 2.16449034665797e-06
"MAV89.10" "TVAG_451370" 273 1.27603617916941e-11 "MAV89" 2.16449034665797e-06
"MAV90.10" "TVAG_451370" 274 1.27603617916941e-11 "MAV90" 2.16449034665797e-06
